what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1476955524415
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476955524919
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476955593336
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1476955600950
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1476955605236
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1476955605286
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1476955605468
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1476955605468
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1476955605578
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1476955606068
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476955609027
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476955620782
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476955646681
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476955725333
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1476955733804
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1476955739664
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1476955739729
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1476955739776
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476955746763
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476955759880
