what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1476984341889
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476984350221
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476984350326
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476984355233
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476984355262
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1476984367113
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1476984373837
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476984378169
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476984381866
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476984390904
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476984417700
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1476984430408
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476984433400
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476984504322
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476984505334
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476984509092
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476984524414
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476984528350
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476984534160
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476984536938
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476984546469
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476984553564
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476984555860
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476984559364
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1476984565668
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1476984567927
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1476984576738
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476984581434
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476984583645
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476984584750
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476984589339
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1476984593021
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1476984596318
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1476984600206
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1476984616153
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1476984623560
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1476984633019
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1476984639241
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476984669466
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476984695641
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1476984706956
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1476984712938
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1476984718301
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1476984722247
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1476984723317
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1476984726027
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1476984772653
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1476984780520
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1476984791844
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1476984817025
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1476984819196
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476984827339
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476984827481
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1476984848761
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1476984873988
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1476984874153
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1476984906504
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1476984918696
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1476984933286
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1476984958644
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1476984959905
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1476984966572
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1476984969481
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1476984993967
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1476984995077
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1476985024185
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1476985078685
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1476985089467
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1476985092946
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1476985118776
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1476985132876
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1476985138878
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1476985142725
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1476985152178
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1476985159992
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1476985162626
