what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1499100794135
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1499100794135
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1499100794136
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1499100794141
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1499100794143
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1499100794144
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1499100794146
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1499100794148
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1499100794150
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1499100794167
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1499100794167
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1499100794177
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1499100794177
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1499100794177
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1499100794177
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1499100794177
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1499100794177
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1499100794177
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1499100794177
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1499100794187
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1499100794187
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1499100794197
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1499100794197
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1499100794197
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1499100794197
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1499100794197
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1499100794207
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1499100794207
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1499100794207
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1499100794207
started,bundle,org.testng.eclipse,6.11.0.201703011520,"org.testng.eclipse",1499100794207
os,sysinfo,,,"win32",1499100794207
arch,sysinfo,,,"x86",1499100794207
ws,sysinfo,,,"win32",1499100794207
locale,sysinfo,,,"en_IN",1499100794207
processors,sysinfo,,,"1",1499100794207
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1499100794207
java.runtime.version,sysinfo,,,"1.7.0_79-b15",1499100794207
java.specification.name,sysinfo,,,"Java Platform API Specification",1499100794207
java.specification.vendor,sysinfo,,,"Oracle Corporation",1499100794207
java.specification.version,sysinfo,,,"1.7",1499100794207
java.vendor,sysinfo,,,"Oracle Corporation",1499100794217
java.version,sysinfo,,,"1.7.0_79",1499100794217
java.vm.info,sysinfo,,,"mixed mode, sharing",1499100794217
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1499100794217
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1499100794217
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1499100794218
java.vm.specification.version,sysinfo,,,"1.7",1499100794218
java.vm.vendor,sysinfo,,,"Oracle Corporation",1499100794218
java.vm.version,sysinfo,,,"24.79-b02",1499100794218
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1499100795475
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1499100796077
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1499100797100
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1499100797105
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1499100797516
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1499100797596
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1499100798629
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1499100801193
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1499100823468
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1499100830101
