what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1476971995373
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1476971995374
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1476971995374
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1476971995375
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1476971995375
os,sysinfo,,,"win32",1476971995378
arch,sysinfo,,,"x86",1476971995378
ws,sysinfo,,,"win32",1476971995378
locale,sysinfo,,,"en_IN",1476971995378
processors,sysinfo,,,"1",1476971995378
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1476971995378
java.runtime.version,sysinfo,,,"1.7.0_79-b15",1476971995378
java.specification.name,sysinfo,,,"Java Platform API Specification",1476971995378
java.specification.vendor,sysinfo,,,"Oracle Corporation",1476971995378
java.specification.version,sysinfo,,,"1.7",1476971995378
java.vendor,sysinfo,,,"Oracle Corporation",1476971995378
java.version,sysinfo,,,"1.7.0_79",1476971995378
java.vm.info,sysinfo,,,"mixed mode, sharing",1476971995378
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1476971995378
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1476971995378
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1476971995378
java.vm.specification.version,sysinfo,,,"1.7",1476971995378
java.vm.vendor,sysinfo,,,"Oracle Corporation",1476971995378
java.vm.version,sysinfo,,,"24.79-b02",1476971995378
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1476971996585
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1476971996595
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1476971996640
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1476972022610
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1476972027522
